Depth,Gamma,K,U,Th,MagSusc
1.64,18.53108,0.1652076,0.0629155,0.9990134,0.02998137
1.65,18.72646,0.1646565,0.06270216,0.9990178,0.02324752
1.65,18.92184,0.1641054,0.06248884,0.9990222,0.0163491
1.65,19.11721,0.1635544,0.06227552,0.9990267,0.009454641
1.65,19.33311,0.1627265,0.06195549,0.9990345,0.002643487
1.65,19.55584,0.1618065,0.06159994,0.9990433,-0.004032847
1.65,19.77858,0.1608865,0.06124439,0.9990523,-0.0104789
1.66,20.00129,0.1599666,0.06088886,0.9990612,-0.01644078
1.66,20.22403,0.1590466,0.06053331,0.99907,-0.0216647
1.66,20.44676,0.1581266,0.06017775,0.9990789,-0.02589674
1.66,20.62847,0.1570221,0.05975108,0.9990901,-0.028924
1.66,20.76915,0.1557333,0.05925331,0.9991034,-0.0305535
1.66,20.90982,0.1544445,0.05875557,0.9991167,-0.03061222
1.67,21.0505,0.1531556,0.05825779,0.9991301,-0.02910411
1.67,21.19118,0.1518667,0.05776002,0.9991434,-0.0260331
1.67,21.33187,0.1505778,0.05726224,0.9991567,-0.02140312
1.67,21.45343,0.1491969,0.05672897,0.9991712,-0.0152042
1.67,21.51766,0.1475391,0.05608897,0.999189,-0.007528039
1.67,21.58188,0.1458813,0.05544897,0.9992067,0.001216812
1.68,21.64611,0.1442236,0.05480898,0.9992245,0.01045618
1.68,21.71033,0.1425658,0.05416898,0.9992422,0.01956062
1.68,21.77456,0.1409082,0.05352903,0.9992601,0.02790072
1.68,21.83879,0.13925,0.05288889,0.9992778,0.03485712
1.68,21.83569,0.1372238,0.05210685,0.9993001,0.03982063
1.68,21.83258,0.1351971,0.05132463,0.9993222,0.04253598
1.68,21.82947,0.1331706,0.05054247,0.9993445,0.04297163
1.69,21.82636,0.131144,0.04976026,0.9993666,0.04131929
1.69,21.82326,0.1291173,0.04897804,0.9993889,0.03777065
1.69,21.82015,0.1270907,0.04819582,0.9994111,0.03257049
1.69,21.7675,0.1250608,0.04741366,0.9994366,0.02612207
1.69,21.69831,0.1230297,0.04663144,0.9994633,0.01916006
1.69,21.62911,0.1209986,0.04584923,0.99949,0.01244827
1.7,21.55991,0.1189675,0.04506701,0.9995167,0.006507727
1.7,21.49072,0.1169364,0.04428479,0.9995434,0.001859176
1.7,21.42152,0.1149055,0.04350263,0.99957,-0.000976534
1.7,21.3164,0.1131517,0.04282692,0.9995922,-0.001655573
1.7,21.17529,0.1116759,0.04225792,0.9996101,-0.000281556
1.7,21.03417,0.1102001,0.04168893,0.9996278,0.00259556
1.71,20.89307,0.1087244,0.04111998,0.9996456,0.006437582
1.71,20.75195,0.1072485,0.04055098,0.9996634,0.01070639
1.71,20.61084,0.1057727,0.03998199,0.9996812,0.01486382
1.71,20.47144,0.104484,0.03948429,0.9996967,0.01820612
1.71,20.33718,0.1037551,0.03919984,0.9997056,0.02013654
1.71,20.20293,0.1030263,0.03891542,0.9997145,0.02054395
1.72,20.06867,0.1022974,0.03863097,0.9997234,0.01928863
