Depth,Gamma,K,U,TH,MagSusc
2.08,26.6670,0.0820,1.6630,0.9990,0.3542
2.08,26.6670,0.0820,1.6630,0.9990,0.3646
2.08,26.6670,0.0820,1.6630,0.9990,0.3682
2.09,24.0232,0.0743,2.0556,0.9990,0.2216
2.09,23.9130,0.0750,2.0229,0.9990,0.2015
2.09,24.4638,0.0756,1.9902,0.9990,0.2462
2.09,23.9130,0.0762,1.9575,0.9990,0.1849
2.09,24.9045,0.0769,1.9248,0.9990,0.2720
2.09,23.9130,0.0775,1.8921,0.9990,0.1682
2.1,23.9130,0.0788,1.8266,0.9990,0.1516
2.1,23.9130,0.0801,1.7612,0.9990,0.1350
2.1,23.9130,0.0814,1.6957,0.9990,0.1183
2.1,23.7778,0.0826,1.6304,0.9990,0.1014
2.1,23.5072,0.0837,1.5651,0.9990,0.0843
2.1,23.2367,0.0848,1.4998,0.9990,0.0672
2.11,22.9661,0.0859,1.4345,0.9990,0.0501
2.11,22.6955,0.0870,1.3692,0.9990,0.0330
2.11,22.4249,0.0882,1.3040,0.9990,0.0159
2.11,22.8989,0.0890,1.2550,0.9990,0.0038
2.11,25.6041,0.0890,1.2550,0.9990,0.0068
2.11,28.3094,0.0890,1.2550,0.9990,0.0098
2.12,31.0146,0.0890,1.2550,0.9990,0.0129
2.12,33.7195,0.0890,1.2550,0.9990,0.0159
2.12,36.4247,0.0890,1.2550,0.9990,0.0190
2.12,39.1300,0.0890,1.2550,0.9990,0.0235
2.12,39.1300,0.0890,1.2548,0.9990,0.0332
2.12,39.1300,0.0890,1.2547,0.9990,0.0444
2.12,39.1300,0.0890,1.2545,0.9990,0.0556
2.13,39.1300,0.0890,1.2544,0.9990,0.0668
2.13,39.1300,0.0890,1.2542,0.9990,0.0780
2.13,39.1300,0.0890,1.2540,0.9990,0.0871
2.13,36.3018,0.0890,1.2540,0.9990,0.0877
2.13,32.5300,0.0890,1.2540,0.9990,0.0819
2.13,28.7582,0.0890,1.2540,0.9990,0.0762
2.14,24.9864,0.0890,1.2540,0.9990,0.0704
2.14,21.2146,0.0890,1.2540,0.9990,0.0646
2.14,17.4428,0.0890,1.2540,0.9990,0.0607
2.14,16.0504,0.0890,1.2540,0.9990,0.0679
2.14,17.0398,0.0890,1.2540,0.9990,0.0917
2.14,18.0291,0.0890,1.2540,0.9990,0.1156
2.15,19.0183,0.0890,1.2540,0.9990,0.1394
2.15,20.0076,0.0890,1.2540,0.9990,0.1633
2.15,20.9969,0.0890,1.2540,0.9990,0.1871
2.15,21.7387,0.0890,1.2540,0.9990,0.1977
2.15,21.7388,0.0890,1.2540,0.9990,0.1682
2.15,21.7388,0.0890,1.2540,0.9990,0.1388
2.16,21.7389,0.0890,1.2540,0.9990,0.1093
2.16,21.7389,0.0890,1.2540,0.9990,0.0799
2.16,21.7390,0.0890,1.2540,0.9990,0.0504
2.16,21.7390,0.0890,1.2540,0.9990,0.0261
2.16,26.4385,0.0890,1.2540,0.9990,0.0188
2.16,31.1380,0.0890,1.2540,0.9990,0.0165
2.16,35.8375,0.0890,1.2540,0.9990,0.0143
2.17,40.5370,0.0890,1.2540,0.9990,0.0120
2.17,45.2365,0.0890,1.2540,0.9990,0.0098
2.17,49.9360,0.0890,1.2540,0.9990,0.0093
2.17,48.1083,0.0890,1.2540,0.9990,0.0155
2.17,44.1045,0.0890,1.2540,0.9990,0.0269
2.17,40.1013,0.0890,1.2540,0.9990,0.0382
2.18,26.0870,0.0914,1.2628,0.9990,0.0140
2.18,26.0870,0.0904,1.2593,0.9990,0.0396
2.18,26.0870,0.0895,1.2558,0.9990,0.0652
2.18,36.0974,0.0890,1.2540,0.9990,0.0496
2.18,32.0936,0.0890,1.2540,0.9990,0.0610
2.18,28.0898,0.0890,1.2540,0.9990,0.0700
2.19,28.6953,0.0651,1.2843,0.9986,-0.0604
2.19,27.5358,0.0784,1.2806,0.9988,-0.0700
2.19,26.3764,0.0917,1.2769,0.9990,-0.0796
2.19,26.0870,0.0943,1.2734,0.9990,-0.0628
2.19,26.0870,0.0933,1.2698,0.9990,-0.0372
2.19,26.0870,0.0924,1.2663,0.9990,-0.0116
2.2,31.9419,0.0514,1.4953,0.9980,-0.0215
2.2,32.4055,0.0382,1.4299,0.9980,-0.0217
2.2,32.8692,0.0251,1.3644,0.9980,-0.0218
2.2,33.3328,0.0120,1.2990,0.9980,-0.0238
2.2,32.1736,0.0253,1.2953,0.9982,-0.0316
2.2,31.0141,0.0386,1.2916,0.9983,-0.0412
2.2,29.8547,0.0518,1.2880,0.9985,-0.0508
2.21,30.4350,0.0966,1.7181,0.9980,0.0107
2.21,30.4350,0.0957,1.7144,0.9980,-0.0008
